Brand,Model,Style,Movement,Beats per Hour,Jewels
Wired,Five Sports Speed Timer,Chronograph,Manual,5 Beat,7J
Alba,62 Seikomatic Chronometer Week Data,Radio Wave,Automatic,6 Beat,8J
Seiko,62 Seikomatic Chronometer Calendar,Military,Electronic,5.5 Beat,9J
,52 King Seiko Chronometer Special,Diver,Mechanical,8 Beat,10J
,Sportsman Seven Calendar,Gmt,Quartz,10 Beat,11J
,Landrek Perpetual Calendar,Dress,Solar,12 Beat,12J
,Seikomatic Weekdata,Pilot,,,13J
,Divers Professional 200 m,Field,,,14J
,Seikomatic Silver Wave,Sports,,,15J
,62 Grand Seiko Week Data,,,,16J
,51 Seikomatic Week Data,,,,17J
,Seikomatic Week Data,,,,18J
,Grand Seiko Second model,,,,19J
,"76 Sportsmatic ""5"" Deluxe",,,,20J
,​Automatic Indicator,,,,21J
,Seiko Selection,,,,22J
,Seikomatic Slim Dating,,,,23J
,"Seikomatic ""Blue Yacht""",,,,24J
,Seikomatic Self Data,,,,25J
,Sportsmatic calendar 820,,,,26J
,"Sportsmatic ""5"" Deluxe",,,,27J
,School Time Week Data,,,,28J
,Grand Seiko Self Data,,,,29J
,76 Sportsmatic Deluxe,,,,30J
,61 Grand Seiko Special,,,,31J
,56 King Seiko Chronometer,,,,32J
,45 King Seiko Chronometer,,,,33J
,Quartz Sports 150,,,,34J
,TYPE-II Business Standard,,,,35J
,Professional diver,,,,36J
,Sportsman Seven,,,,37J
,King Seiko Chronometer,,,,38J
,"66 Sportsmatic ""Five""",,,,39J
,62 Grand Seiko Calendar,,,,40J
,61 New Five Deluxe,,,,41J
,61 Grand Seiko V.F.A.,,,,42J
,57 Grand Seiko Calendar,,,,43J
,52 Lordmatic Special,,,,44J
,52 King Seiko Special,,,,45J
,51 New Five Deluxe,,,,46J
,Presage Cocktail Time,,,,47J
,KINETIC AUTO RELAY,,,,48J
,Prospex alpinist,,,,49J
,Grand Seiko First,,,,50J
,Perpetual calendar,,,,
,"Sportsmatic ""Five""",,,,
,Sportsmatic Calendar,,,,
,63 Five Luna Calendar,,,,
,5 sports speed timer,,,,
,Prospex Divers,,,,
,KINETIC AUTO RELAY TITAN,,,,
,Liner Chronometer,,,,
,Skyliner Calendar,,,,
,Super Week Data,,,,
,King Seiko Calendar,,,,
,Observatory Chronometer,,,,
,Automatic winding No. 1,,,,
,Champion calendar,,,,
,Seikomatic Slim,,,,
,Cronos self data,,,,
,Perpetual,,,,
,auto quartz SCUBA 200m,,,,
,Seikosha Precision,,,,
,Navigator Timer,,,,
,Diver watch 300m,,,,
,Diver watch 150m,,,,
,Super Self Data,,,,
,Super Auto Data,,,,
,Chronos Self Data,,,,
,Crown Self Data,,,,
,GIUGIARO SPIRIT SMART,,,,
,Sports Matic 5 Deluxe,,,,
,Royal Air Force Broad Arrow,,,,
,Road Marvel 36000,,,,
,Hybrid diver,,,,
,33 Battery Watch,,,,
,Sportsmatic 5 Deluxe,,,,
,Seiko Five DX,,,,
,Sportsmatic 17J,,,,
,King Twin Quartz,,,,
,Sportmatic 5,,,,
,Campion Calendar 860,,,,
,Scuba,,,,
,Chronos Special,,,,
,Cronos seahorse,,,,
,Crown Special,,,,
,44 Grand Seiko,,,,
,SCUBA DIVER’S 200m,,,,
,SEIKO 5 SPORTS Speed Timer,,,,
,​Perpetual GMT,,,,
,Professional,,,,
,"Seikomatic ""R""",,,,
,"Seiko Business ""A""",,,,
,"Sportsmatic ""5""",,,,
,66 Silver Wave,,,,
,63 silver wave,,,,
,62 Silver Wave,,,,
,61 Navigator Time,,,,
,61 Grand Seiko,,,,
,56 Grand Seiko,,,,
,45 Grand Seiko,,,,
,37 Electronic,,,,
,31 Electronic,,,,
,Scuba Master,,,,
,Field Master,,,,
,Seiko Kinetic,,,,
,Navy Monster,,,,
,PERPETUAL CALENDER,,,,
,Orange Monster,,,,
,Black Monster,,,,
,Seiko matic,,,,
,Seiko Square,,,,
,Grand Seiko,,,,
,Cronos Self Dater,,,,
,61 Skyliner,,,,
,Quartz Type II,,,,
,Lordmatic,,,,
,KINETIC PERPETUAL,,,,
,SEIKO LM Special,,,,
,SCUBA DIVERS 200m,,,,
,World timer,,,,
,Five sports,,,,
,Disney Time,,,,
,Diver watch,,,,
,Second diver,,,,
,Seikomatic,,,,
,Seiko marvel,,,,
,Seiko crown,,,,
,Sportsmatic,,,,
,Sports watch,,,,
,Speed Timer,,,,
,Sweep seconds,,,,
,Silver wave,,,,
,Gyro marvel,,,,
,Third Divers,,,,
,Gold Feather,,,,
,Crystal seven,,,,
,Grand quartz,,,,
,Epson seiko,,,,
,63 Third Diver,,,,
,61 world time,,,,
,56 King Seiko,,,,
,51 Presmatic,,,,
,51 New Five,,,,
,45 King Seiko,,,,
,40 business bell,,,,
,LOADMATIC,,,,
,Speedmaster,,,,
,stopwatch,,,,
,Seiko 5,,,,
,Calculator,,,,
,week data,,,,
,Baby Monster,,,,
,nano universe,,,,
,King Quartz,,,,
,Flight Master,,,,
,SEIKO MATIC-R,,,,
,World,,,,
,Frequency,,,,
,SEIKO SCUBA 200M,,,,
,Champion 860,,,,
,Champion 850,,,,
,SEIKO5 Actus,,,,
,300m PRO diver,,,,
,KINETIC SPORTS,,,,
,EPSILON,,,,
,Premier Kinetic,,,,
,Silver Wave S-WAVE,,,,
,DAIVER’S  200m,,,,
,World time,,,,
,Lord marvel,,,,
,Prospex,,,,
,Presmatic,,,,
,School Time,,,,
,Skyliner,,,,
,Third diver,,,,
,King Seiko,,,,
,56 Duo Time,,,,
,Landmaster,,,,
,Moon Phases,,,,
,SEIKO special ,,,,
,Twin Quartz,,,,
,Navy Boy,,,,
,Black Boy,,,,
,PRECISION 21J,,,,
,Scuba 200 m,,,,
,Lord Quartz,,,,
,Diamond Shock,,,,
,Moonface,,,,
,Cocktail time,,,,
,Yacht timer,,,,
,Pulse Meter,,,,
,MARINE MASTER,,,,
,Diver 200m,,,,
,SEIKO5 SPORTS,,,,
,600m diver,,,,
,300m diver,,,,
,Quartz VFA,,,,
,DIVER'S 200 m,,,,
,SEIKO SUS,,,,
,silver wave Z,,,,
,DIVERS 200ｍ,,,,
,Bellmatic,,,,
,Fairway,,,,
,Champion,,,,
,Sportsman,,,,
,Giugiaro,,,,
,63 Final,,,,
,07 Elnix,,,,
,KINETIC,,,,
,Presage,,,,
,Landrek,,,,
,Seiko QR,,,,
,alpinist,,,,
,Selection,,,,
,Exceline,,,,
,Seikosha,,,,
,BUSSINESS-A,,,,
,Timetron,,,,
,S wave,,,,
,38 Quartz,,,,
,SUS,,,,
,Sportura,,,,
,SUCCESS,,,,
,GRAND QUARTS,,,,
,SEIKO Chorus,,,,
,Seiko 5DX,,,,
,Seiko LC,,,,
,Road Marvel,,,,
,"45GS, V.F.S",,,,
,silver ware,,,,
,chronometer,,,,
,TRIPLE DAYS,,,,
,DIVERS 150M,,,,
,sliver wave,,,,
,CARIB,,,,
,Harmony,,,,
,Divers,,,,
,Credor,,,,
,Elnix,,,,
,BUSINESS-A,,,,
,61 divers,,,,
,AKA,,,,
,SPIRIT,,,,
,COUTURA,,,,
,BELL-MATIC,,,,
,emblem,,,,
,Astron,,,,
,5 ACTUS SS,,,,
,Digiborg,,,,
,Lucent,,,,
,Avenue,,,,
,RECRAFT,,,,
,Superior,,,,
,Lordmatic LM,,,,
,Empire,,,,
,LORD MATIC,,,,
,Dolce,,,,
,LOAD MATIC,,,,
,SPORTMATIC,,,,
,QR Quartz,,,,
,Pilot,,,,
,Sottsass,,,,
,FIELD GEAR,,,,
,Majesta,,,,
,Business A,,,,
,KS HI-BEAT,,,,
,Sports Man,,,,
,Mechanical,,,,
,Unister,,,,
,PADI diver,,,,
,TIME SONAR,,,,
,quartz SQ,,,,
,PRECISION,,,,
,5 Sports,,,,
,Aqua Gear,,,,
,SS 5 ATCUS,,,,
,Type II,,,,
,EXCELLENT,,,,
,KING SEKO,,,,
,scuba200m,,,,
,Laurel,,,,
,Liner,,,,
,unique,,,,
,Matic,,,,
,Marvel,,,,
,Brightz,,,,
,Diver,,,,
,Super,,,,
,Cronos,,,,
,crown,,,,
,Actus,,,,
,CHARIOT,,,,
,TYPE2,,,,
,Five,,,,
,Galante,,,,
,Advan,,,,
,Landy,,,,
,Purmier,,,,
,ACTUS SS,,,,
,BUSINESS,,,,
,seiko QT,,,,
,ignition,,,,
,SEIKO SX,,,,
,Pulsar,,,,
,Mechanical SUS,,,,
,Premier ,,,,
,Digi-Ana,,,,
,KS vanac,,,,
,LM MATIC,,,,
,SEIKO LM,,,,
,CLASSIC,,,,
,Chronos,,,,
,CURRENT,,,,
,LASSALE,,,,
,PREMIER,,,,
,SAMURAI,,,,
,Lukia,,,,
,Assie,,,,
,TiCTAC,,,,
,SEIKO5,,,,
,SEIKO 5 ACTUS,,,,
,Delica,,,,
,TOMONY,,,,
,S-wave,,,,
,TYPE-B,,,,
,WEWILL,,,,
,Tuna Can,,,,
,Sumo,,,,
,NOIE,,,,
,CADET,,,,
,SPRIT,,,,
,BEAMS,,,,
,V.F.A,,,,
,A.G.S,,,,
,SPORK,,,,
,KS56,,,,
,61GS,,,,
,57GS,,,,
,56GS,,,,
,wena,,,,
,45KS King Seiko,,,,
,ROOX,,,,
,ARC,,,,
,AGS,,,,
,SEIKO 5 DX,,,,
,QZ,,,,
,Grand Seiko GS,,,,
,KS King Seiko,,,,
